filename,width,height,class,xmin,ymin,xmax,ymax
video_2831_png.rf.7a8f4e76d5069019b0819956b453ef48.jpg,256,256,herb,52,123,64,138
video_2831_png.rf.7a8f4e76d5069019b0819956b453ef48.jpg,256,256,herb,107,104,119,119
video_2831_png.rf.7a8f4e76d5069019b0819956b453ef48.jpg,256,256,herb,108,41,132,76
video_2831_png.rf.7a8f4e76d5069019b0819956b453ef48.jpg,256,256,wild,105,81,124,101
video_2831_png.rf.7a8f4e76d5069019b0819956b453ef48.jpg,256,256,wild,22,116,46,131
video_91_png.rf.7adc23ae7440ed725fbc6cfd74174116.jpg,256,256,wild,99,147,119,167
video_91_png.rf.7adc23ae7440ed725fbc6cfd74174116.jpg,256,256,wild,149,180,158,191
video_91_png.rf.7adc23ae7440ed725fbc6cfd74174116.jpg,256,256,wild,218,157,237,185
video_91_png.rf.7adc23ae7440ed725fbc6cfd74174116.jpg,256,256,wild,104,183,112,197
video_1241_png.rf.7af278196d304e76484a906f5730119d.jpg,256,256,herb,124,140,136,162
video_2481_png.rf.7ab00fdfa62eab0cf12b63e6368c2468.jpg,256,256,herb,154,222,192,256
video_2481_png.rf.7ab00fdfa62eab0cf12b63e6368c2468.jpg,256,256,herb,206,164,224,183
video_2481_png.rf.7ab00fdfa62eab0cf12b63e6368c2468.jpg,256,256,wild,184,185,217,219
video_21101_png.rf.7a98374a5ef8abebc8a8ff2c3372c1db.jpg,256,256,herb,90,220,121,251
video_21101_png.rf.7a98374a5ef8abebc8a8ff2c3372c1db.jpg,256,256,herb,134,139,146,155
video_21101_png.rf.7a98374a5ef8abebc8a8ff2c3372c1db.jpg,256,256,herb,199,144,213,162
video_21101_png.rf.7a98374a5ef8abebc8a8ff2c3372c1db.jpg,256,256,wild,116,162,143,192
video_21101_png.rf.7a98374a5ef8abebc8a8ff2c3372c1db.jpg,256,256,wild,220,163,253,183
video_2181_png.rf.7a521c789b592f41b666dade66592897.jpg,256,256,herb,97,54,116,85
video_2181_png.rf.7a521c789b592f41b666dade66592897.jpg,256,256,herb,40,86,54,105
video_2181_png.rf.7a521c789b592f41b666dade66592897.jpg,256,256,wild,63,70,84,92
video_1201_png.rf.7b62509bf1fa83aaaa1bf2a0ce19952d.jpg,256,256,herb,4,109,20,136
video_1201_png.rf.7b62509bf1fa83aaaa1bf2a0ce19952d.jpg,256,256,herb,116,85,123,100
video_2931_png.rf.7b2a13efdf900ee9d88c3dbfa441e5eb.jpg,256,256,herb,139,31,167,72
video_2931_png.rf.7b2a13efdf900ee9d88c3dbfa441e5eb.jpg,256,256,herb,121,93,132,108
video_2931_png.rf.7b2a13efdf900ee9d88c3dbfa441e5eb.jpg,256,256,herb,66,86,79,104
video_2931_png.rf.7b2a13efdf900ee9d88c3dbfa441e5eb.jpg,256,256,wild,41,70,65,89
video_2931_png.rf.7b2a13efdf900ee9d88c3dbfa441e5eb.jpg,256,256,wild,127,69,147,91
video_1171_png.rf.7bed123541d0046f95b11cac2c92301b.jpg,256,256,herb,118,134,155,176
video_1171_png.rf.7bed123541d0046f95b11cac2c92301b.jpg,256,256,herb,39,64,54,85
video_2881_png.rf.797caafedf366bfb60cc411487fc7b71.jpg,256,256,herb,101,184,122,217
video_2881_png.rf.797caafedf366bfb60cc411487fc7b71.jpg,256,256,herb,125,144,136,158
